# Tag | Avg latency (ms) | 5-th percentile latency (ms) | 25-th percentile latency (ms) | 50-th percentile latency (ms) | 75-th percentile latency (ms) | 95-th percentile latency (ms) | Throughput (tps) | Effective length (s)
rate-10000-lat-10-140-bw-1000-4bg-run-2 | 102314.4396072348 | 27621.513584 | 56789.589353 | 103500.477248 | 143547.838679 | 175288.506324 | 64882.60730293117 | 265.6485106945038
rate-10000-lat-10-140-bw-1000-4bg-run-3 | 75663.17012524286 | 25186.406821 | 53850.95857 | 78850.745658 | 97655.541842 | 120903.62679 | 95792.43365584215 | 269.3824450969696
rate-10000-lat-10-140-bw-1000-4bg-run-4 | 86313.81537832251 | 25000.877497 | 58666.176665 | 97655.263009 | 116817.362427 | 139957.301521 | 93013.89486572343 | 266.15619134902954
rate-10000-lat-10-140-bw-1000-4bg-run-5 | 82393.70594043416 | 28069.094207 | 59255.531528 | 81692.857407 | 104210.640483 | 136614.947826 | 81128.53052410448 | 267.7872242927551
rate-10000-lat-10-140-bw-1000-4bg-run-6 | 74503.53522052405 | 26837.694884 | 49118.357893 | 77390.979683 | 100958.92175 | 118461.11902 | 95897.46458381758 | 267.3362023830414
rate-10000-lat-10-160-bw-1000-4bg-baseline-run-1 | 134100.97777892379 | 29402.891365 | 93151.250317 | 140931.714731 | 188679.177153 | 217476.426833 | 35134.72962390133 | 270.2319927215576
rate-10000-lat-10-160-bw-1000-4bg-baseline-run-2 | 127520.1553938823 | 39247.294023 | 81333.357093 | 127993.86674 | 164071.436091 | 216136.812844 | 34996.069338319285 | 268.9618628025055
rate-10000-lat-10-160-bw-1000-4bg-baseline-run-3 | 138034.6397338029 | 31638.851688 | 78412.225837 | 142328.717466 | 200250.780331 | 221340.284062 | 36375.641759298844 | 272.1610264778137
rate-10000-lat-10-160-bw-1000-4bg-baseline-run-4 | 134241.05029133774 | 32142.867833 | 94449.035695 | 134210.550661 | 187009.678465 | 211140.211056 | 37913.133859132235 | 271.3875365257263
rate-10000-lat-10-160-bw-1000-4bg-baseline-run-5 | 127784.69106731698 | 33570.613319 | 84452.536887 | 126592.433984 | 171697.181347 | 220992.033483 | 34806.54475600836 | 271.13245701789856
rate-10000-lat-10-160-bw-1000-4bg-baseline-run-6 | 130240.4965796121 | 35432.502425 | 78725.780785 | 123432.133993 | 187106.755428 | 216908.921328 | 32566.391273928428 | 272.04881024360657
